ID,empresa,modelo_negocio,app_movil,periodo,marca,modelo,tipo_vehiculo,segmento,transmision,combustible,puertas,uso_principal,precio_hora_ars,precio_dia_ars,km_incluidos,costo_vehiculo_usd,horas_uso_dia,usuarios_registrados,cobertura_geo,observaciones,fecha_carga,codigo_postal,telefono,email
1,My Keego,carsharing_flota_propia,MyKeego App,2025,Nissan,Polo,utilitario,premium,N/A,gas,0,carga,18588.099094055433,98085.18201588116,100,22000,10.0,125000,Rosario,cerró en enero 2025,2026-01-25 11:08:31.750069,0000,11-1234-5678,keko@keko
2,Mykeego,alquiler_trabajo,TripWip App,25,Fiat,Yaris,furgon,mediano , ,diesel,-1,urbano,147904.4544808442,750682.2084532315,cien,25000,8.0,14K,"BS AS, Argentina",verificar,2025-10-10 11:08:31.764309,1000,,
3,Keko,alquiler_trabajo,Alamo Web,2025,Chevrolet,208,utilitario,mediano ,MANUAL,diesel,-1,,"14.408,53",61446.513508609845,200,,8.0,,"Rosario, Argentina",Cerró enero 2025,2025-07-26 11:08:31.749256,C1000,0800-KEKO,keko@keko
4,Sixt,alquiler_trabajo, ,2025,Renault,Cronos,HATCHBACK,grande, ,gas,5,Ubr,"14.479,93",63807.885628859745,200,50000,10.0,15000,"Mendosa, Argentina",CERRÓ,2025-02-19,1000,0800-KEKO,keko@keko
5,Keko,renta tradicional,TripWip App,2023,Chevrolet,Etios,HATCHBACK,premium,,NAFTA,tres,taxi,-21436.898713165618,100688.93780595752,150,15000000,,"80,000",B.Aires,Cerró enero 2025,2025-12-09 11:08:31.762564,1425,sin telefono,contacto@keko.com
6,Sixt,  renta_tradicional  ,,,Chev,Maverick,,,,,,,,,,,,,,ESPACIOS EN BLANCO,,1425,sin telefono,keko.com
7,Mykeego,renta_tradicional, ,2023,Kia,Etius,auto,mediano ,,híbrido,6,urbano,,,unlimited,,8.0,45000,BS AS,PENDIENTE,19/04/2025,1425,12345678,usuario@gmail.com
3138,Keko,renta_tradicional,web site,2023,Mercedes,208,camioneta,COMPACTO,AUTOMATICO,,3, ,-15079.01669850421,72893.78325301227,100,12000,3.0,5000,"n/a, Argentina",ACTIVO,11-23-2025,XXXX,+54 11 1234-5678,info@
9,Triwpip,AGREGADOR_TRADICIONAL,Despegar Autos,2025-01-01,Mercedes,Suburban,Furgon,mediano,,,5,mixto,-15514.269115493276,89728.60985906892,unlimited,15000,,125.000,BuenosAires,cerró en enero 2025,2026-01-15,1425,+54 11 1234-5678,usuario@gmail.com
8818,Localiza,renta_tradicional,Rentennials App,2023,Toyota,Kangoo,SUV,COMPACTO,N/A,diesel,0,,26019.426653812137,133681.05362059662,cien,35000,8.0,125000,n/a, ,07-22-2025,CABA,sin telefono,info@
